D,J
-42.84991,3.94107
-32.85011,3.82769
-22.85014,3.46313
-12.84993,2.74211
-2.84997,1.49419
7.15025,-0.17176
17.15044,-1.62791
27.15035,-2.82835
37.15044,-3.78402
47.15041,-4.54185
57.15029,-5.09161
67.15009,-5.49672
67.15029,-5.49872
77.1499,-5.76258
87.14999,-5.91943
97.15,-5.98139
107.1499,-6.00651
117.15018,-5.93029
127.15024,-5.74992
137.15045,-5.5293
147.15037,-5.3129
157.15018,-4.99773
167.1503,-4.58323
177.15017,-4.0764
187.15025,-3.48611
197.15011,-2.85107
207.14999,-2.15596
217.14997,-1.39665
227.15003,-0.50431
237.15015,0.55451
247.15011,1.63391
257.15014,2.45892
267.15029,3.00293
277.15034,3.34174
287.15035,3.58061
297.15034,3.77886
307.15028,3.92957
